INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
32	#{NAME_5000_008}	#{SKILL_1000_033}	0	20	0	0	0	0	0	0	2	shoot	18	171
33	#{NAME_5000_008}	#{SKILL_1000_034}	0	20	0	0	0	0	0	0	2	shoot	18	172
34	#{NAME_5000_008}	#{SKILL_1000_035}	0	20	0	0	0	0	0	0	2	shoot	18	173
35	#{NAME_5000_008}	#{SKILL_1000_036}	0	20	0	0	0	0	0	0	12	shoot	18	174
36	#{NAME_5000_008}	#{SKILL_1000_037}	0	20	0	0	0	0	0	0	2	shoot	18	163
37	#{NAME_5000_008}	#{SKILL_1000_038}	0	20	0	0	0	0	0	0	2	shoot	18	164
38	#{NAME_5000_008}	#{SKILL_1000_039}	0	20	0	0	0	0	0	0	2	shoot	18	165
39	#{NAME_5000_008}	#{SKILL_1000_040}	0	20	0	0	0	0	0	0	2	shoot	18	166
40	#{NAME_5000_008}	#{SKILL_1000_041}	0	20	0	0	0	0	0	0	0	shoot	19	167
41	#{NAME_5000_008}	#{SKILL_1000_042}	0	20	0	0	0	0	0	0	12	shoot	18	168
42	#{NAME_5000_008}	#{SKILL_1000_043}	0	20	0	0	0	0	0	0	1	shoot	19	169
43	#{NAME_5000_008}	#{SKILL_1000_044}	0	20	0	0	0	0	0	0	3	shoot	18	170
44	#{NAME_5000_008}	#{SKILL_1000_045}	0	20	0	0	0	0	0	0	1	shoot	19	171
45	#{NAME_5000_008}	#{SKILL_1000_046}	0	20	0	0	0	0	0	0	3	shoot	18	172
46	#{NAME_5000_008}	#{SKILL_1000_047}	0	20	0	0	0	0	0	0	3	shoot	18	173
47	#{NAME_5000_008}	#{SKILL_1000_048}	0	20	0	0	0	0	0	0	1	shoot	19	174
48	#{NAME_5000_008}	#{SKILL_1000_049}	0	20	0	0	0	0	0	0	13	shoot	19	163
49	#{NAME_5000_008}	#{SKILL_1000_050}	0	20	0	0	0	0	0	0	4	shoot	18	164
50	#{NAME_5000_008}	#{SKILL_1000_051}	0	20	0	0	0	0	0	0	4	shoot	18	165
51	#{NAME_5000_008}	#{SKILL_1000_052}	0	20	0	0	0	0	0	0	2	shoot	18	166
52	#{NAME_5000_008}	#{SKILL_1000_053}	0	20	0	0	0	0	0	0	4	shoot	18	167
53	#{NAME_5000_008}	#{SKILL_1000_054}	0	20	0	0	0	0	0	0	4	shoot	18	168
54	#{NAME_5000_008}	#{SKILL_1000_055}	0	20	0	0	0	0	0	0	2	shoot	18	169
55	#{NAME_5000_008}	#{SKILL_1000_056}	0	20	0	0	0	0	0	0	4	shoot	18	170
56	#{NAME_5000_008}	#{SKILL_1000_057}	0	20	0	0	0	0	0	0	6	shoot	19	171
57	#{NAME_5000_008}	#{SKILL_1000_058}	0	20	0	0	0	0	0	0	6	shoot	19	172
58	#{NAME_5000_008}	#{SKILL_1000_059}	0	20	0	0	0	0	0	0	6	shoot	19	173
59	#{NAME_5000_008}	#{SKILL_1000_060}	0	20	0	0	0	0	0	0	6	shoot	19	174
60	#{NAME_5000_008}	#{SKILL_1000_061}	0	20	0	0	0	0	0	0	6	shoot	19	163
61	#{NAME_5000_008}	#{SKILL_1000_062}	0	20	0	0	0	0	0	0	6	shoot	19	164
62	#{NAME_5000_008}	#{SKILL_1000_063}	0	20	0	0	0	0	0	0	6	shoot	19	165
63	#{NAME_5000_008}	#{SKILL_1000_064}	0	20	0	0	0	0	0	0	6	shoot	19	166
64	#{NAME_5000_008}	#{SKILL_1000_065}	0	20	0	0	0	0	0	0	6	shoot	19	167
65	#{NAME_5000_008}	#{SKILL_1000_066}	0	20	0	0	0	0	0	0	6	shoot	19	168
66	#{NAME_5000_008}	#{SKILL_1000_067}	0	20	0	0	0	0	0	0	6	shoot	19	169
67	#{NAME_5000_008}	#{SKILL_1000_068}	0	20	0	0	0	0	0	0	6	shoot	19	170
68	#{NAME_5000_008}	#{SKILL_1000_069}	0	20	0	0	0	0	0	0	6	shoot	19	171
69	#{NAME_5000_008}	#{SKILL_1000_070}	0	20	0	0	0	0	0	0	6	shoot	19	172
70	#{NAME_5000_008}	#{SKILL_1000_071}	0	20	0	0	0	0	0	0	6	shoot	19	173
71	#{NAME_5000_008}	#{SKILL_1000_072}	0	20	0	0	0	0	0	0	6	shoot	19	174
72	#{NAME_5000_008}	#{SKILL_1000_073}	0	20	0	0	0	0	0	0	6	shoot	19	163
73	#{NAME_5000_008}	#{SKILL_1000_074}	0	20	0	0	0	0	0	0	6	shoot	19	164
74	#{NAME_5000_008}	#{SKILL_1000_075}	0	20	0	0	0	0	0	0	6	shoot	19	165
75	#{NAME_5000_008}	#{SKILL_1000_076}	0	20	0	0	0	0	0	0	6	shoot	19	166
76	#{NAME_5000_008}	#{SKILL_1000_077}	0	20	0	0	0	0	0	0	6	shoot	19	167
77	#{NAME_5000_008}	#{SKILL_1000_078}	0	20	0	0	0	0	0	0	6	shoot	19	168
78	#{NAME_5000_008}	#{SKILL_1000_079}	0	20	0	0	0	0	0	0	6	shoot	19	169
79	#{NAME_5000_008}	#{SKILL_1000_080}	0	20	0	0	0	0	0	0	6	shoot	19	170
80	#{NAME_5000_008}	#{SKILL_1000_081}	0	20	0	0	0	0	0	0	6	shoot	19	171
81	#{NAME_5000_008}	#{SKILL_1000_082}	0	20	0	0	0	0	0	0	6	shoot	19	172
82	#{NAME_5000_008}	#{SKILL_1000_083}	0	20	0	0	0	0	0	0	6	shoot	19	173
83	#{NAME_5000_008}	#{SKILL_1000_084}	0	20	0	0	0	0	0	0	6	shoot	19	174
84	#{NAME_5000_008}	#{SKILL_1000_085}	0	20	0	0	0	0	0	0	6	shoot	19	163
85	#{NAME_5000_008}	#{SKILL_1000_086}	0	20	0	0	0	0	0	0	6	shoot	19	164
86	#{NAME_5000_008}	#{SKILL_1000_087}	0	20	0	0	0	0	0	0	6	shoot	19	165
87	#{NAME_5000_008}	#{SKILL_1000_088}	0	20	0	0	0	0	0	0	6	shoot	19	166
88	#{NAME_5000_008}	#{SKILL_1000_089}	0	20	0	0	0	0	0	0	6	shoot	19	167
89	#{NAME_5000_008}	#{SKILL_1000_090}	0	20	0	0	0	0	0	0	6	shoot	19	168
90	#{NAME_5000_008}	#{SKILL_1000_091}	0	20	0	0	0	0	0	0	6	shoot	19	169
91	#{NAME_5000_008}	#{SKILL_1000_092}	0	20	0	0	0	0	0	0	6	shoot	19	170
92	#{NAME_5000_008}	#{SKILL_1000_093}	0	20	0	0	0	0	0	0	6	shoot	19	171
93	#{NAME_5000_008}	#{SKILL_1000_094}	0	20	0	0	0	0	0	0	6	shoot	19	172
94	#{NAME_5000_008}	#{SKILL_1000_095}	0	20	0	0	0	0	0	0	6	shoot	19	173
95	#{NAME_5000_008}	#{SKILL_1000_096}	0	20	0	0	0	0	0	0	6	shoot	19	174
96	#{NAME_5000_008}	#{SKILL_1000_097}	0	20	0	0	0	0	0	0	6	shoot	19	163
97	#{NAME_5000_008}	#{SKILL_1000_098}	0	20	0	0	0	0	0	0	6	shoot	19	164
98	#{NAME_5000_008}	#{SKILL_1000_099}	0	20	0	0	0	0	0	0	6	shoot	19	165
99	#{NAME_5000_008}	#{SKILL_1000_100}	0	20	0	0	0	0	0	0	6	shoot	19	166
100	#{NAME_5000_008}	#{SKILL_1000_101}	0	5	0	0	0	0	0	0	6	shoot	19	167
101	#{NAME_5000_008}	#{SKILL_1000_001}	0	5	0	0	0	0	0	0	9	shoot	19	168
102	#{NAME_5000_008}	#{SKILL_1000_002}	0	0	5	0	0	0	0	0	0	shoot	19	169
103	#{NAME_5000_008}	#{SKILL_1000_003}	0	5	0	0	0	0	0	0	2	shoot	18	170
104	#{NAME_5000_008}	#{SKILL_1000_004}	0	3	0	0	0	0	0	0	2	shoot	18	171
105	#{NAME_5000_008}	#{SKILL_1000_005}	0	0	3	3	0	0	0	0	2	shoot	18	172
106	#{NAME_5000_008}	#{SKILL_1000_006}	0	3	0	0	0	0	5	0	2	shoot	18	173
107	#{NAME_5000_008}	#{SKILL_1000_007}	0	0	0	0	0	0	0	0	12	shoot	18	174
108	#{NAME_5000_008}	#{SKILL_1000_008}	0	7	0	0	0	0	0	0	2	shoot	18	163
109	#{NAME_5000_008}	#{SKILL_1000_009}	0	0	0	0	0	0	0	0	2	shoot	18	164
110	#{NAME_5000_008}	#{SKILL_1000_010}	0	0	0	0	0	0	0	0	2	shoot	18	165
111	#{NAME_5000_008}	#{SKILL_1000_011}	0	10	0	0	0	0	10	0	2	shoot	18	166
112	#{NAME_5000_008}	#{SKILL_1000_012}	0	0	7	7	0	0	0	0	0	shoot	19	167
113	#{NAME_5000_008}	#{SKILL_1000_013}	0	10	0	0	0	0	0	0	12	shoot	18	168
114	#{NAME_5000_008}	#{SKILL_1000_014}	0	10	0	0	0	0	0	0	1	shoot	19	169
115	#{NAME_5000_008}	#{SKILL_1000_015}	0	10	0	0	0	0	0	0	3	shoot	18	170
116	#{NAME_5000_008}	#{SKILL_1000_016}	0	10	0	0	0	0	0	0	1	shoot	19	171
117	#{NAME_5000_008}	#{SKILL_1000_017}	0	10	0	0	0	0	0	0	3	shoot	18	172
118	#{NAME_5000_008}	#{SKILL_1000_018}	0	10	0	0	0	0	10	0	3	shoot	18	173
119	#{NAME_5000_008}	#{SKILL_1000_019}	0	0	10	0	0	0	0	0	1	shoot	19	174
120	#{NAME_5000_008}	#{SKILL_1000_020}	0	0	0	10	0	 	0	0	13	shoot	19	163
121	#{NAME_5000_008}	#{SKILL_1000_021}	0	0	0	0	0	0	0	0	4	shoot	18	164
122	#{NAME_5000_008}	#{SKILL_1000_022}	0	0	10	0	0	0	0	0	4	shoot	18	165
123	#{NAME_5000_008}	#{SKILL_1000_023}	0	7	7	0	0	0	0	0	2	shoot	18	166
124	#{NAME_5000_008}	#{SKILL_1000_024}	0	7	0	7	0	0	0	0	4	shoot	18	167
125	#{NAME_5000_008}	#{SKILL_1000_025}	0	0	12	0	0	0	0	0	4	shoot	18	168
126	#{NAME_5000_008}	#{SKILL_1000_026}	0	12	0	0	0	0	0	0	2	shoot	18	169
127	#{NAME_5000_008}	#{SKILL_1000_027}	0	15	0	0	0	0	15	0	4	shoot	18	170
128	#{NAME_5000_008}	#{SKILL_1000_028}	0	15	15	15	0	0	0	0	6	shoot	19	171
129	#{NAME_5000_008}	#{SKILL_1000_029}	0	15	15	15	0	0	0	0	6	shoot	19	172
