INT	STRING	STRING
44	TXSS_2000_043	向其他玩家宣战！
45	TXSS_2000_044	是否进行自动战斗？自动战斗后部队将开始自动进攻！
46	TXSS_2000_045	不能访问该领地，因为对方版本过低。
47	TXSS_2000_046	军资不足
48	TXSS_2000_047	派遣防护
49	TXSS_2000_048	账号不能为空！
50	TXSS_2000_049	密码不能为空！
51	TXSS_2000_050	账号不合法！账号为数字或字母！
52	TXSS_2000_051	密码不合法！密码必须全部是数字或字母！
53	TXSS_2000_052	集结号的太频繁了，请休息一下.
54	TXSS_2000_053	商品生产中...敬请期待！
55	TXSS_2000_054	提示
56	TXSS_1000_001	破碎石矿
57	TXSS_1000_002	稀疏树林
58	TXSS_1000_003	木材
59	TXSS_1000_004	矿石
60	TXSS_1000_005	金钱
61	TXSS_1000_006	达到等级
62	TXSS_1000_007	在这里可以建造采石场来采集石矿军资。
63	TXSS_1000_008	在这里可以建造伐木场来采集木头军资。
64	TXSS_1000_009	在这里可以建造军资采集所来采集木材军资
65	TXSS_1000_010	在这里可以建造矿坑来采集矿石军资。
66	TXSS_1000_011	当前储存已达上限，需要建造更多军品储备所提高储存量。
67	TXSS_1000_012	产量：
68	TXSS_1000_013	每小时
69	TXSS_1000_014	分
70	TXSS_1000_015	秒
71	TXSS_1000_016	收集剩余时间：
72	TXSS_1000_017	建筑物升级中：
73	TXSS_1000_018	工作进行中：
74	TXSS_1000_019	这个军品储备所可以储存每样军资
75	TXSS_1000_020	个
76	TXSS_1000_021	无受伤士兵
77	TXSS_1000_022	无受损战车
78	TXSS_1000_023	这支军队已被击败
79	TXSS_1000_024	要协助攻击这支军队吗？
80	TXSS_1000_025	的领地正在被攻击！
81	TXSS_1000_026	总血量
82	TXSS_1000_027	木头
83	TXSS_1000_028	木材
84	TXSS_1000_029	矿石
85	TXSS_1000_030	军费
86	TXSS_1000_031	对不起，没有找到该玩家
87	TXSS_1000_032	请求添加为好友
88	TXSS_1000_033	一群敌人正在攻击家园
89	TXSS_1000_034	登山
90	TXSS_1000_035	朋友来了
91	TXSS_1000_036	建造剩余时间
92	TXSS_1000_037	等级
93	TXSS_1000_038	天
94	TXSS_1000_039	此操作将花费您
95	NAME_3000_001	特种兵靴
96	NAME_3000_002	望远镜
97	NAME_3000_003	加厚军裤
98	NAME_3000_004	防爆钢盔
99	NAME_3000_005	军官大衣
100	NAME_3000_006	面包
101	NAME_3000_007	青豆罐头
102	NAME_3000_008	鸡腿
103	NAME_3000_009	牛排
104	NAME_3000_010	烤乳猪
105	NAME_3000_011	维生素
106	NAME_3000_012	止血剂
107	NAME_3000_013	解毒剂
108	NAME_3000_014	抗生素
109	NAME_3000_015	强心剂
110	NAME_4000_001	突击兵
111	NAME_4000_002	1号B型
112	NAME_4000_003	投弹手
113	NAME_4000_004	间谍
114	NAME_4000_005	机枪手
115	NAME_4000_006	狙击手
116	NAME_4000_007	38k重兵炮
117	NAME_4000_008	特种兵
118	NAME_4000_009	B型突击炮
119	NAME_4000_010	黑豹D型
120	NAME_4000_011	小炮手
121	NAME_4000_012	抢滩突袭兵
122	NAME_4000_013	灰熊重兵炮
123	NAME_4000_014	2号C型
124	NAME_4000_015	冲锋敢死队
125	NAME_4000_016	2号坦克炮
126	NAME_4000_017	火焰喷射兵
127	NAME_4000_018	黄狼坦克炮
128	NAME_4000_019	拾荒者
129	NAME_4000_020	迫击炮手
130	NAME_4000_021	生化特种兵
131	NAME_4000_022	斐迪南战车
132	NAME_4000_023	猎豹歼敌车
133	NAME_4000_024	虎式坦克
134	NAME_4000_025	G8-S步兵炮
135	NAME_4000_026	突击虎
136	NAME_4000_027	野蜂榴弹炮
137	NAME_4000_028	鼠式坦克
138	NAME_4000_029	4号歼敌车
139	NAME_4000_030	猎虎歼敌车
140	NAME_4000_031	
141	NAME_4000_032	
142	NAME_4000_033	
143	NAME_4000_034	
144	NAME_4000_035	未知敌人
145	NAME_4000_036	
146	NAME_4000_037	
147	NAME_4000_038	
148	NAME_4000_039	
149	NAME_4000_040	奇特敌人
150	NAME_4000_041	不知名敌人
151	NAME_4000_042	
152	NAME_4000_043	
153	NAME_4000_044	
154	NAME_4000_045	特别应变队
155	NAME_4000_046	
156	NAME_4000_047	
157	NAME_4000_048	
158	NAME_4000_049	
159	NAME_4000_050	
160	NAME_4000_051	
161	NAME_4000_052	
162	NAME_4000_053	
163	NAME_4000_054	
164	NAME_4000_055	
165	NAME_4000_056	
166	NAME_4000_057	
167	NAME_5000_001	
168	NAME_5000_002	
169	NAME_5000_003	
170	NAME_5000_004	
171	NAME_5000_005	
172	NAME_5000_006	
173	NAME_5000_007	
174	NAME_5000_008	
175	NAME_5000_009	
176	NAME_5000_010	
177	NAME_5000_011	
178	NAME_5000_012	
179	NAME_5000_013	
180	NAME_5000_014	
181	NAME_5000_015	
182	NAME_5000_016	
183	NAME_5000_017	
184	NAME_5000_018	
185	NAME_5000_019	
186	NAME_5000_020	
187	NAME_5000_021	
188	NAME_5000_022	
189	NAME_5000_023	
190	NAME_5000_024	
191	NAME_5000_025	
192	NAME_5000_026	
193	NAME_5000_027	
194	NAME_5000_028	
195	NAME_5000_029	
196	NAME_5000_030	
197	NAME_5000_031	
198	NAME_5000_032	
199	NAME_5000_033	
200	NAME_5000_034	
201	NAME_5000_035	
202	NAME_5000_036	
203	NAME_5000_037	
204	NAME_5000_038	
205	NAME_5000_039	
206	NAME_5000_040	
207	NAME_5000_041	
208	NAME_5000_042	
209	NAME_5000_043	
210	NAME_5000_044	
211	NAME_5000_045	
212	NAME_5000_046	
213	NAME_5000_047	
214	NAME_1000_001	
215	NAME_1000_002	
216	NAME_1000_003	
217	NAME_1000_004	
218	NAME_1000_005	
219	NAME_1000_006	
220	NAME_1000_007	
221	NAME_1000_008	
222	NAME_2000_001	行军帐
223	NAME_2000_002	军营
224	NAME_2000_003	作战司令部
225	NAME_2000_004	军资所
226	NAME_2000_005	军械库
227	NAME_2000_006	军品储备所
228	NAME_2000_007	作战军资库
229	NAME_2000_008	兵医馆
230	NAME_2000_009	陆军军营
231	NAME_2000_010	重型装甲营
232	NAME_2000_011	阵地军械库
233	NAME_2000_012	军资供给所
234	NAME_2000_013	采石场
235	NAME_2000_014	核能采石场
236	NAME_2000_015	伐木场
237	NAME_2000_016	核能伐木场
238	NAME_2000_017	军资采集所
239	NAME_2000_018	伐木场
240	NAME_2000_019	矿场
241	NAME_2000_020	军资指挥部
242	NAME_2000_021	领土扩张
243	NAME_2000_022	铸兵场
244	NAME_2000_023	兵医馆
245	NAME_2000_024	武器升级
246	JZCD_2000_001	行军帐可以提供5个人口，并且每5分钟带来50金钱收益。
247	JZCD_2000_002	军营可以带来10个人口，并且每60分钟带来2000金币与1000经验收益。
248	JZCD_2000_003	作战司令部可以提供15个人口，并且每720分钟带来20000金币与20000经验收益。
249	JZCD_2000_004	军资所可以收获军资，收获军资可以带来金币和军功收益。
250	JZCD_2000_005	军械库可以生产专属商品，收获商品可以带来金钱也军功收益。
251	JZCD_2000_006	军品储备所增加5000军资存储上限。
252	JZCD_2000_007	作战军资库增加10000军资存储上限。
253	JZCD_2000_008	医馆可以消耗军资治疗军队。
254	JZCD_2000_009	陆军军营可以训练突击兵,1号B型坦克,投弹手,间谍，特种兵,2号坦克炮,归入旗下
255	JZCD_2000_010	重型装甲营可以训练斐迪南战车,虎式坦克,猎豹歼敌车,猎虎歼敌车,突击虎,鼠式坦克,归入旗下
256	JZCD_2000_011	阵地军械库可以生产专属商品。收获商品可以获得金币与军功奖励。
257	JZCD_2000_012	军资供给所可以产生木材,矿石和金钱军资。每两个小时收获一次。
258	JZCD_2000_013	采石场可以产生军资。采集矿石的工厂！只需将它放到地表的矿石上，就可以挖掘矿石军资。
259	JZCD_2000_014	采石可以产生军资。使用采石工厂可以大幅提高矿石的产量。充足的矿石军资是建造各类建筑物的有力后盾，这是基础的基础。
260	JZCD_2000_015	伐木场可以产生军资。收集木材的工厂！只需将它放到地表的树林上，就可以获取木材军资。
261	JZCD_2000_016	核能伐木场可以产生军资。使用伐木工厂可以大幅提高木材的产量。木材军资影响着一些基础与高端的建筑项目，请不要忽视它。
262	JZCD_2000_017	军资采集所可以源源不断的采集军资。当军品储备所储满时，不在生产。
263	JZCD_2000_018	伐木场可以更高效率的采集木材军资。当军品储备所储满时，不在生产。
264	JZCD_2000_019	矿坑可以源源不断的采集矿石军资。当军品储备所储满时，不在采集。
265	JZCD_2000_020	军资指挥部可以源源不断的采集军资指挥部军资。当军品储备所储满时，不在采集。
266	JZCD_2000_021	扩张可以获得更多自由支配的领地。扩充军团的领土，增加可以支配的自由领地。广阔的领土是强大军团的标志。
267	JZCD_2000_022	御医院可以用来治疗身受重伤的患者
268	JZCD_2000_023	建造高级医馆来治疗受伤的单元！每一名战友都很重要，想要更好的治愈受伤战友。
269	JZCD_2000_024	御医院可以用来治疗身受重伤的患者
270	JZCD_2000_025	住房
271	JZCD_2000_026	军事
272	JZCD_2000_027	生产
273	JZCD_2000_028	军资
274	JZCD_2000_029	扩张
275	JZCD_2000_030	商店
276	JZCD_2000_031	建造菜单
277	JZCD_1000_001	详情
278	JZCD_1000_002	花费军资
279	JZCD_1000_003	收益
280	JZCD_1000_004	小时
281	JZCD_1000_005	住房
282	JZCD_1000_006	个人口
283	JZCD_1000_007	训练士兵
284	JZCD_1000_008	训练名门
285	JZCD_1000_009	治愈士兵
286	JZCD_1000_010	治疗重伤
287	JZCD_1000_011	生产
288	JZCD_1000_012	石头/天
289	JZCD_1000_013	木头/天
290	JZCD_1000_014	木材/天
291	JZCD_1000_015	矿石/天
292	JZCD_1000_016	储存：
293	JZCD_1000_017	美食的工作
294	JZCD_1000_018	武器的工作
295	JZCD_1000_019	军资的工作
296	JZCD_1000_020	扩张1个区域
297	JZCD_1000_021	每两小时收集一次。
298	JZCD_3000_001	训练中
299	JZCD_3000_002	建造中
300	JZCD_3000_003	训练进度
301	JZCD_3000_004	建造进度
302	JZCD_3000_005	治疗进度
303	DYXX_1000_001	军队信息
304	DYXX_1000_002	生命
305	DYXX_1000_003	英勇值
306	DYXX_1000_004	防御
307	DYXX_1000_005	阻挡
308	DYXX_1000_006	部分
309	DYXX_1000_007	额外加成
310	DYXX_1000_008	命中
311	DYXX_1000_009	暴击率
312	DYXX_1000_010	杀伤力
313	DYXX_1000_011	武器
314	DYXX_1000_012	
315	DYXX_1000_013	
316	DYXX_1000_014	
317	DYXX_1000_015	杀伤力类型
318	DYXX_1000_016	射程
319	DYXX_1000_017	冷却时间
320	DYXX_1000_018	士兵攻击方式
321	DYXX_1000_019	闪避
322	DYXX_1000_020	暴击VS士兵
323	DYXX_1000_021	当前装备
324	DYXX_1000_022	装甲
325	DYXX_1000_023	防御
326	DYXX_1000_024	基本值
327	DYXX_1000_025	穿甲
328	DYXX_1000_026	粉碎
329	DYXX_1000_027	内力
330	DYXX_1000_028	单元
331	DYXX_1000_029	军队
332	DYXX_1000_030	你的军队
333	DYXX_1000_031	所有军队
334	DYXX_1000_032	点击查看军队信息
335	DYXX_1000_033	士兵
336	DYXX_1000_034	兵长
337	DYXX_1000_035	士官长
338	ZDXG_1000_001	恭喜获得胜利！
339	ZDXG_1000_002	你获得以下奖励：
340	ZDXG_1000_003	继续前进吧！
341	ZDXG_1000_004	请去士兵医疗站治疗受伤的军队
342	ZDXG_1000_005	点选军队参加战斗
343	RWJM_1000_001	建造民居
344	RWJM_1000_002	开始生产
345	RWJM_1000_003	兵法很强大
346	RWJM_1000_004	金币的收获
347	RWJM_1000_005	印第安人的加入
348	RWJM_1000_006	陆军军营
349	RWJM_1000_007	扩大人口
350	RWJM_1000_008	寻找军资
351	RWJM_1000_009	建造采石场
352	RWJM_1000_010	军资很重要：一
353	RWJM_1000_011	军资很重要：二
354	RWJM_1000_012	军资很重要：三
355	RWJM_1000_013	安德鲁的加入
356	RWJM_1000_014	手下匮乏
357	RWJM_1000_015	避难所的求救信息
358	RWJM_1000_016	白衣士兵
359	RWJM_1000_017	士气问题：一
360	RWJM_1000_018	审美的差异
361	RWJM_1000_019	寻找新的环境
362	RWJM_1000_020	首饰从哪来：二
363	RWJM_1000_021	大刀的威力
364	RWJM_1000_022	威慑
365	RWJM_1000_023	向外发展
366	RWJM_1000_024	建造军资采集所
367	RWJM_1000_025	
368	RWJM_1000_026	训练卫兵
369	RWJM_1000_027	建造伐木场
370	RWJM_1000_028	建造迷你军品储备所
371	RWJM_1000_029	这些人是从哪来的？
372	RWJM_1000_030	救援
373	RWJM_1000_031	防御力量
374	RWJM_1000_032	训练防爆士兵
375	RWJM_1000_033	呵呵，石料！
376	RWJM_1000_034	驱逐敌军
377	RWJM_1000_035	兴建工程
378	RWJM_1000_036	玩具包裹
379	RWJM_1000_037	是谁打破了我的家
380	RWJM_1000_038	建造伐木场
381	RWJM_2000_001	建造1间行军帐
382	RWJM_2000_002	1.建造1个军资所
383	RWJM_2000_003	2.生产一些面包
384	RWJM_2000_004	建造一个军资供给所
385	RWJM_2000_005	收税3次
386	RWJM_2000_006	1.建造1个陆军军营
387	RWJM_2000_007	2.训练1个突击兵
388	RWJM_2000_008	建造两个军营
389	RWJM_2000_009	1.拖动地图查看基地
390	RWJM_2000_010	2.缩放地图
391	RWJM_2000_011	建造1座采石场
392	RWJM_2000_012	生产一些牛排
393	RWJM_2000_013	生产一些青豆罐头
394	RWJM_2000_014	生产一些鸡腿
395	RWJM_2000_015	击退攻击拾荒者
396	RWJM_2000_016	在陆军军营里的士兵
397	RWJM_2000_017	返回避难所
398	RWJM_2000_018	建造1间士兵医疗站
399	RWJM_2000_019	建造1间
400	RWJM_2000_020	建造1间普通民居
401	RWJM_2000_021	移动普通民居
402	RWJM_2000_022	建造1间工坊
403	RWJM_2000_023	训练两名士官长

404	RWJM_2000_024	攻击敌军
405	RWJM_2000_025	进行第1次领土扩张
406	RWJM_2000_026	建造1座木材场
407	RWJM_2000_027	生产1箱青豆罐头
408	RWJM_2000_028	击败敌军
409	RWJM_2000_029	建造1座伐木场
410	RWJM_2000_030	建造1个迷你军品储备所
411	RWJM_2000_031	人口数量达到78
412	RWJM_2000_032	击败敌军
413	RWJM_2000_033	训练两名铁盾
414	RWJM_2000_034	用防爆士兵击败敌军
415	RWJM_2000_035	再次扩张领土
416	RWJM_2000_036	建造1间
417	RWJM_2000_037	建造一间医馆
418	RWJM_2000_038	训练一个突击兵
419	RWJM_2000_039	让他们从天上下来
420	RWJM_2000_040	建造1个铁矿场
421	RWDH_1000_001	
422	RWDH_1000_002	想要扬名就必须组建自己的军队。
423	RWDH_1000_003	出征。我们准备出征。
424	RWDH_1000_004	突围成功就把这里作为我们的根据地吧。首先我们得保证住的地方，让我们来建一个行军帐，点击建筑，选择行军帐来进行建造。
425	RWDH_1000_005	这是我新设计的军资所！它可以获得军资，你还在等什么？赶紧造一个吧！
426	RWDH_1000_006	当军资所建成后，点击军资所，就能生产军资。现在，点击军资所来生产军资吧。
427	RWDH_1000_007	趁着士兵们在弄房子，我们来生产些军资吧,无论在哪里自给自足规矩是不会变的。
428	RWDH_1000_008	你可以每两个小时在一些建筑收集1次，每次会获得少量的军资，来试试吧。
429	RWDH_1000_009	大家对于根据地建设都很热情，我们可以去行军帐那里筹集一些资金来更好的建设基地。
430	RWDH_1000_010	哎呀，这里有只受伤的鹿，正好可以带回去开开荤。
431	RWDH_1000_011	请稍等，那是我的猎物。
432	RWDH_1000_012	你凭什么说这是你的猎物！
433	RWDH_1000_013	根据地的士兵越来越多了,难免会发生纷争,前些天听说三营队长又跟伙房老头吵起来了,后来都闹到指挥官那去了,所以维护根据地和睦迫在眉睫。
434	RWDH_1000_014	我们现在的手下严重不足，所以，建造一个陆军军营并训练一个突击兵吧！
435	RWDH_1000_015	你竟然敢无视我的存在！难道你不知道军资的重要性么！
436	RWDH_1000_016	兵岛现在的人口是越来越多了，之前的行军帐已经有点不够用了，为了让大家住的更舒服我们需要再建两个军营。
437	RWDH_1000_017	我需要大量的军资在维持我天才的实验！赶紧探查基地周围的军资点吧！！
438	RWDH_1000_018	你可以拖动屏幕来查看基地周围的环境，也可以用手指拿来进行放大和缩小，来试试吧。
439	RWDH_1000_019	石头石头石头，我们需要石头。建一个采石场吧，哔哔哔。
440	RWDH_1000_020	你们每天锻炼难肚子饿，快来生产一些牛排吧。
441	RWDH_1000_021	现在食物快使用完了，快来生产些青豆罐头。
442	RWDH_1000_022	鸡腿很美味，我们也去做一些吧。
443	RWDH_1000_023	基地附近发现有人正在被拾荒者攻击！我们要去救他！
444	RWDH_1000_024	阿尔杰他们把人救回了基地，后来得知这人名叫安德鲁，是联盟军后备团一等兵，由于被内奸出卖所以后备团全军覆没，只有他活了下来。因为仰慕约纳斯已久，所以安德鲁也决定留在军团。
445	RWDH_1000_025	光靠喽啰小兵的战斗力还是远远不够的，我们需要更强大的士兵。训练2名手雷兵。
446	RWDH_1000_026	我们接到避难所的求救消息，说是有拾荒者在攻击他们。他们需要帮助！
447	RWDH_1000_027	看到你们实在是太好了！拾荒者看到你们过来就仓惶逃走了，你们是我们的救星！
448	RWDH_1000_028	你们没事就好，如果拾荒者再来了记得通知我们。
449	RWDH_1000_029	点击回城按钮就可以从副本回到自己的基地。
450	RWDH_1000_030	盖尔，之前的战斗中有人受伤了，我需要一间士兵医疗站来治疗他们。
451	RWDH_1000_031	诺亚你人真好，士兵医疗站马上就会有的！哔哔！
452	RWDH_1000_032	我说，你们平时就只喝水么？难道就没有一点带酒精的饮料么？
453	RWDH_1000_033	我觉得饮料还是很重要的，哔哔！我来造个饮料店吧！这样我就有石料喝了，哔哔！
454	RWDH_1000_034	我可没听说过哪个饮料店会有石料……
455	RWDH_1000_035	诺亚诺亚，你看！这是我设计的房子。
456	RWDH_1000_036	呃，你确定这是房子？
457	RWDH_1000_037	这当然是房子，你看这独特的设计、精巧的做工，简直就是完美的房子！！士兵们会喜欢它的！哔哔！！
458	RWDH_1000_038	我要为这间完美的房子找一个完美的环境。
459	RWDH_1000_039	点击移动按钮，选择普通民居，把它移动到适合的地方吧。
460	RWDH_1000_040	
461	RWDH_1000_041	
462	RWDH_1000_042	
463	RWDH_1000_043	
464	RWDH_1000_044	
465	RWDH_1000_045	
466	RWDH_1000_046	
467	RWDH_1000_047	
468	RWDH_1000_048	
469	RWDH_1000_049	
470	RWDH_1000_050	
471	RWDH_1000_051	
472	RWDH_1000_052	
473	RWDH_1000_053	哔哔！我们的木头已经不多了，我们需要一个伐木场！
474	RWDH_1000_054	
475	RWDH_1000_055	话说我今天才发现，什么时候我们基地里有这么多人了？
476	RWDH_1000_056	
477	RWDH_1000_057	
478	RWDH_1000_058	
479	RWDH_1000_059	
480	RWDH_1000_060	
481	RWDH_1000_061	
482	RWDH_1000_062	
483	RWDH_1000_063	
484	RWDH_1000_064	
485	RWDH_1000_065	
486	RWDH_1000_066	
487	RWDH_1000_067	
488	RWDH_1000_068	
489	RWDH_1000_069	
490	TIPS_1000_001	指挥官，即将进入战场历练，请做好战斗准备！
491	TIPS_1000_002	战斗中自动战斗功能可以令你更方便的进行战斗。
492	TIPS_1000_003	战斗胜利的关键是：合理搭配阵法和使用兵将。
493	TIPS_1000_004	将狙击手放到机枪手后面可以减少受到的伤害
494	TIPS_1000_005	军品储备所是体现军功的最佳场所。
495	TIPS_1000_006	军品储备所荣誉可以兑换特殊武器奖励。
496	TIPS_1000_007	每天都要进行军品储备所,来获取荣誉。
497	TIPS_1000_008	快速升级最好的办法就是挑战主线的关卡。
498	TIPS_1000_009	获得击杀成就，你将获得更多的奖励。
499	TIPS_1000_010	请确保您的库存充足,以便持续开发和建造。
500	CHAT_1000_001	系统信息
501	CHAT_1000_002	[战场]
502	CHAT_1000_003	聊天界面
503	CHAT_1000_004	系统
504	CHAT_1000_005	公告
505	CHAT_1000_006	管理员
506	SHOP_1000_001	由德国保时捷公司在第二次世界大战末期设计的超重型坦克，战斗全重达188吨，是当时最重的坦克。
507	SHOP_1000_002	“猎虎”坦克歼击车基于“虎王”坦克的底盘以及部件，其火炮是二战中威力最强大的反坦克炮。
508	SHOP_1000_003	它装备了各级装甲炮兵单位，在前线一直服役到战争结束，是一种对德军非常重要和有效的武器。
509	SHOP_1000_004	Marder（黄鼠狼）系列是二战德军最早大量装备的坦克歼击车，在1944年就停产。
510	SHOP_1000_005	以统一的红色军装配备，具有高效的作战风格，让敌人害怕他们铁一般的意志，是战场上的硬汉。
511	SHOP_1000_006	1941年5月26日，德国军方决定研制新型重型坦克，研制代号为VK4501。
512	SHOP_1000_007	虎式坦克自1942年进入德国陆军服役至1945年德国战败投降为止。
513	SHOP_1000_008	重要的战略资源，修建很多建筑物都离不开他！
514	SHOP_1000_009	重要的战略资源，打造重型武器必备！
515	SHOP_1000_010	没有军费了？请点击购买钻石。
516	SHOP_1000_011	
517	SHOP_1000_012	
518	SHOP_1000_013	
519	SHOP_1000_014	
520	SHOP_1000_015	
521	SHOP_1000_016	
522	SHOP_1000_017	
523	SHOP_1000_018	
524	SHOP_1000_019	
525	SHOP_1000_020	
526	SHOP_1000_021	
527	SHOP_1000_022	
528	SHOP_1000_023	
529	SHOP_1000_024	
530	SHOP_2000_001	在线商城
531	SHOP_2000_002	战斗单元已加入的佣兵团
532	SHOP_2000_003	能量合剂数量已添加
533	SHOP_2000_004	杀伤力
534	SHOP_2000_005	空白
535	SHOP_2000_006	防御
536	SHOP_2000_007	射程
537	SHOP_2000_008	商品详情
538	SHOP_2000_009	
539	SHOP_2000_010	
540	SHOP_2000_011	
541	SHOP_2000_012	
542	SHOP_2000_013	
543	SHOP_2000_014	
544	SHOP_2000_015	
545	SHOP_2000_016	
546	SHOP_2000_017	为充值赠送礼包，也可单独购买。内含大量物资。
547	SHOP_2000_018	为充值赠送礼包，也可单独购买。内含超多物资。
548	SHOP_2000_019	为充值赠送礼包，也可单独购买。内含大量军备。
549	SHOP_2000_020	为充值赠送礼包，也可单独购买。内含超多军备。
550	SHOP_2000_021	战场上风云变幻、险象环生，你一定需要这些军备！
551	SHOP_2000_022	战斗时恢复战斗单元的生命值10000点，战斗必不可少的物资。
552	SHOP_2000_023	花费
553	SHOP_2000_024	军费
554	SHOP_2000_025	军费不足，请充值
555	SHOP_2000_026	精英士兵礼包，赠送战争军资和军费
556	SHOP_2000_027	精英士兵礼包，赠送战争军资和军费
557	SHOP_2000_028	精英士兵礼包，赠送战争军资和军费
558	SHOP_2000_029	精英士兵礼包，赠送战争军资和军费
559	SHOP_2000_030	凶猛战车礼包，赠送大量军费
560	SHOP_2000_031	凶猛战车礼包，赠送大量军费
561	SHOP_2000_032	凶猛战车礼包，赠送大量军费
562	SHOP_2000_033	凶猛战车礼包，赠送大量军费
563	SHOP_2000_034	凶猛战车礼包，赠送大量军费
564	SHOP_2000_035	兄弟连
565	SHOP_2000_036	参加过4年前战争的老兵，杀人军功丰富，熟悉各种武器装备，视命令为生命的军人！
566	SHOP_2000_037	磁暴火箭兵
567	SHOP_2000_038	崇拜务实主义的他最喜欢精密打击，结合磁能的导弹大幅提高了命中率，以最低成本换取最大价值万岁！“飞蛾扑火。”他总是这样形容对手。
568	SHOP_2000_039	超载巡逻兵
569	SHOP_2000_040	在所有爆破专家中他的身体素质和意志力都是最佳的。处事冷静，计划周密，为了深入敌阵，他操作悬浮滑板，灵巧的躲避攻击并给予敌人装甲部队致命打击。
570	SHOP_2000_041	超级士兵
571	SHOP_2000_042	超级士兵的介绍
572	SHOP_2000_043	超级士兵
573	SHOP_2000_044	超级士兵的介绍
574	SHOP_2000_045	
575	SHOP_2000_046	
576	SHOP_2000_047	
577	SHOP_2000_048	
578	SHOP_2000_049	
579	SHOP_2000_050	
580	SHOP_2000_051	
581	SHOP_2000_052	
582	SHOP_2000_053	
583	SHOP_2000_054	
584	SHOP_2000_055	
585	SHOP_2000_056	
586	SHOP_2000_057	
587	SHOP_2000_058	
588	SHOP_2000_059	
589	SHOP_2000_060	
590	SHOP_2000_061	
591	SHOP_2000_062
592	SHOP_2000_063	
593	SHOP_2000_064	
594	CUPY_1000_001	主线关卡
595	CUPY_2000_001	二战之始
596	CUPY_2000_002	大战在即
597	CUPY_2000_003	闪击荷兰
598	CUPY_2000_004	全军突击
599	CUPY_2000_005	欲擒故纵
600	CUPY_2000_006	围城救援
601	CUPY_2000_007	巷口大战
602	CUPY_2000_008	暂未开放
603	CUPY_2000_009	暂未开放
604	CUPY_2000_010	暂未开放
605	CUPY_3000_001	第
606	CUPY_3000_002	关
607	CUPY_3000_003	完胜通关奖励：
608	CUPY_3000_004	完胜大概率获得：
609	CUPY_4000_001	战争前线
610	CUPY_4000_002	法兰西战役
611	CUPY_4000_003	不列颠之战
612	CUPY_4000_004	诺曼底之战
613	CUPY_4000_005	花园行动一
614	CUPY_4000_006	花园行动二
615	CUPY_4000_007	阿登反击战
616	CUPY_4000_008	莱茵河战役
617	CUPY_4000_009	基辅战役一
618	CUPY_4000_010	基辅战役二
619	CUPY_4000_011	莫斯科战役
620	CUPY_4000_012	斯大林战役
621	CUPY_4000_013	高加索战役
622	CUPY_4000_014	列宁保卫战
623	CUPY_4000_015	柏林战役一
624	CUPY_4000_016	柏林战役二
625	CUPY_4000_017	柏林战役三
626	CUPY_4000_018	阿拉曼战役
627	CUPY_4000_019	突尼斯战役
628	CUPY_4000_020	珍珠港之战
629	CUPY_4000_021	珊瑚海之战
630	CUPY_4000_022	中途岛之战
631	CUPY_4000_023	瓜岛争夺战
632	CUPY_4000_024	特纳战役一
633	CUPY_4000_025	特纳战役二
634	CUPY_4000_026	特纳战役三
635	CUPY_4000_027	莱特湾海战
636	CUPY_4000_028	硫磺岛战役
637	CUPY_4000_029	冲绳岛战役
638	CUPY_4000_030	新加坡战役
